Name,Role,Location,Skills,Years_of_Experience,Achievements,Education,Certifications
Amit Joshi,Software Engineer,Delhi,Python, Software Design, Agile,4,Recognized for excellence in problem solving. | Built scalable architecture for high-traffic services.,B.Tech in Software Engineering,Microsoft Certified: Azure Solutions Architect
Suresh Verma,Game Developer,Delhi,Unreal Engine, Game Design, 3D Modeling,17,Key contributor to open-source projects.,B.Tech in Software Engineering,
Rajesh Verma,Software Engineer,Pune,C++, Java, Python,20,Developed an innovative application used by thousands. | Key contributor to open-source projects.,B.Tech in Computer Science,Microsoft Certified: Azure Solutions Architect
Suresh Patel,Web Developer,Delhi,HTML, Bootstrap, JavaScript,2,Led multiple successful deployment projects.,B.Tech in Software Engineering,
Priya Nair,Security Engineer,Hyderabad,Network Security, Linux, Python,15,Recognized for excellence in problem solving. | Improved system performance by 30% in production.,B.Tech in Software Engineering,Cisco Certified Network Associate
Kiran Iyer,Embedded Systems Engineer,Chennai,C, C++, RTOS,12,Built scalable architecture for high-traffic services. | Led multiple successful deployment projects.,B.Tech in Software Engineering,
Ravi Joshi,Software Engineer,Delhi,Software Design, Agile, C++,11,Key contributor to open-source projects. | Spearheaded a cloud migration project.,B.Tech in Software Engineering,Microsoft Certified: Azure Solutions Architect
Pooja Aggarwal,Data Scientist,Chennai,Python, R, SQL,9,Built scalable architecture for high-traffic services. | Developed an innovative application used by thousands.,B.Tech in Computer Science,Google Cloud Professional
Kiran Nair,Full Stack Developer,Mumbai,HTML, Node.js, CSS, JavaScript,7,Built scalable architecture for high-traffic services. | Mentored teams in agile practices.,B.Tech in Software Engineering,Cisco Certified Network Associate
Ravi Nair,AI Research Scientist,Mumbai,Python, Deep Learning, Neural Networks,8,Improved system performance by 30% in production. | Recognized for excellence in problem solving.,B.Tech in Software Engineering,Google Cloud Professional
Pooja Reddy,Cloud Solutions Architect,Hyderabad,Docker, GCP, Azure,5,Key contributor to open-source projects. | Recognized for excellence in problem solving.,B.Tech in Computer Science,Oracle Certified Professional
Amit Patel,Full Stack Developer,Chennai,HTML, Python, Django, React,16,Developed an innovative application used by thousands. | Improved system performance by 30% in production.,B.Tech in Software Engineering,Certified Kubernetes Administrator
Vijay Joshi,Software Engineer,San Francisco,Agile, C++, Java,12,Developed an innovative application used by thousands.,M.Tech in Computer Science,Certified Ethical Hacker
Priya Joshi,UI/UX Engineer,Paris,Sketch, Figma, JavaScript,5,Recognized for excellence in problem solving. | Mentored teams in agile practices.,B.Tech in Software Engineering,Oracle Certified Professional
Amit Chopra,UI/UX Engineer,Delhi,Sketch, Adobe XD, JavaScript,11,Key contributor to open-source projects. | Developed an innovative application used by thousands.,B.Tech in Computer Science,
Amit Patel,Backend Developer,Pune,Flask, Node.js, Python,11,Built scalable architecture for high-traffic services. | Improved system performance by 30% in production.,B.Tech in Computer Science,Google Cloud Professional
Priya Chopra,Security Engineer,New York,Network Security, Linux, Python,14,Improved system performance by 30% in production. | Led multiple successful deployment projects.,B.Tech in Computer Science,
Suresh Patel,UI/UX Engineer,Pune,JavaScript, Figma, Adobe XD,11,Built scalable architecture for high-traffic services. | Improved system performance by 30% in production.,B.Tech in Computer Science,Oracle Certified Professional
Rajesh Malhotra,Mobile App Developer,Delhi,Swift, React Native, Flutter,16,Developed an innovative application used by thousands. | Recognized for excellence in problem solving.,B.Tech in Computer Science,
